number;category;answer;question;m;ignore
10026;AARD;amerongse berg;hoogste punt vd Utr.heuvelrug;2;
10027;AARD;amersfoort;in welke plaats/stad vinden wij de wijk Kattenbroek;2;
10028;AARD;amersfoort;wijken:Bergkwartier,Dorrestein,Randenbroek;3;
10029;AARD;amiens;waar vinden wij grootste gothische kathedraal v.Frankrijk;3;
10030;AARD;amsterdam;waar vinden wij de Schreierstoren;1;
10031;AARD;amsterdam;waar vinden wij het Maagdenhuis;1;
10032;AARD;amsterdam-rijnkanaal;over welk water gaat de Prins Clausbrug tussen Kanaleneiland en Papendorp;3;
10033;AARD;amsterdam-rijnkanaal;over welk water gaat veerdienst Breukelen-NieuwerTerAa;2;
10034;AARD;anatolie;hoe wordt het Aziatisch gedeelte v.Turkije gen.,behalve Klein-Azie;3;
10035;AARD;anchorage;grootste en belangrijkste stad in Am.staat Alaska,maar niet hoofdstad;3;
10036;AARD;andalusie;van welke Sp.regio is Sevilla de hoofdstad;2;
10037;AARD;angel falls;hoogste waterval ter wereld 979 m.hoog (Eng.naam);3;
10038;AARD;angstel;welk riviertje stroomt door Abcoude (niet Weesp-Abcoude);3;
10039;AARD;annapolis;wat is de hoofdstad vd Am.staat Maryland;3;
10040;AARD;antarctica;waar (int.naam) vinden wij de Mt. Kirkpatrick en de Mt. Markham;3;
10041;AARD;antarctica;Zuidpoolgebied;1;
10042;AARD;apeldoorn;in welke plaats vinden wij paleis het Loo;1;
10043;AARD;apeldoorn;wijken:Berg en Bos,Anklaar,de Maten;3;
10044;AARD;appalachen;van welk gebergte is Mount Mitchell (2037 m.) hoogste top ;3;
10045;AARD;appenijnen;welk gebergte wordt de ruggegraat van Italie genoemd;2;
10046;AARD;appingedam;plaats met de hangende keukens boven het water;3;
10047;AARD;apulie;van welke It.regio is Bari de hoofdstad;3;
10048;AARD;aquitanie;in welke Fr.region ligt het departement Dordogne;3;
10049;AARD;aralmeer;welk meer ligt op grens Kazachstan en Oezbekistan;2;
10050;AARD;aralmeer;welk meer ontvangt zijn water van de Syr Darya en de Amu Darya;3;
10051;AARD;argentinie;in welk land ligt Rosario;2;
10052;AARD;arizona;van welke Am.staat is Phoenix de hoofdstad;2;
10053;AARD;arkansas;van welke Am.staat is Little Rock de hoofdstad;3;
10054;AARD;arkansas;"welke Am.staat heeft bijnaam ""The natural state""";3;
10055;AARD;armenie;van welk land is Jerewan de hoofdstad;3;
10056;AARD;arnhem;wijken:Malburgen,Presikhaaf,Elsweide;3;
10057;AARD;arnhem;wijken:Monnikenhuizen,Geitenkamp,Klarendal;3;
10058;AARD;asmara;hoofdstad van Eritrea;2;
10059;AARD;assen;waar staat standbeeld van Bartje;2;
10060;AARD;assen;wijken:Vredeveld,Pittelo,Baggelhuizen;3;
10061;AARD;assoean;bij welke plaats is een dam in de Nijl gebouwd;2;
10062;AARD;astana;hoofdstad Kazachstan;3;
10063;AARD;atjeh;meest westelijke provincie v.Indonesie (op Sumatra);3;
10064;AARD;atlanta;hoofdstad van de Am.staat Georgia;2;
10065;AARD;atlantische;in welke oceaan mondt de Amazone uit;2;
10066;AARD;atol;koraaleiland of ..;2;
10067;AARD;augusta;wat is de hoofdstad vd Am.staat Maine;3;
10068;AARD;australie;in welk land vinden wij de rivier de Darling;3;
10069;AARD;australie;in welk land vinden wij de rivier de Murray;2;
10070;AARD;auvergne;in welke Fr.region ligt het departement Puy de Dome;3;
10071;AARD;ayers rock; 's werelds grootste monoliet (uitstekende rots) in Australie;3;
10072;AARD;baarle-hertog;naam vd gemeente waartoe de Belg.enclaves in Noordbrabant behoren ;3;
10073;AARD;baden-wurttemberg;van welke Du.deelstaat is Stuttgart de hoofdstad;2;
10074;AARD;bahama's;van welk land is Nassau de hoofdstad;3;
10075;AARD;bahia;welke staat is de bakermat v.Brazilie, waar het Afrikaanse hart v.Brazilie klopt;3;
10076;AARD;bahrein;van welk land is Manamah de hoofdstad;3;
10077;AARD;bajkalmeer;diepste meer ter wereld;2;
10078;AARD;balaton;grootste Hongaarse meer;2;
10079;AARD;balk;bel.plaats/waar staat gem.huis gemeente Gasterlan-Sleat;3;
10080;AARD;baltimore;grootste en belangrijkste stad in Am.staat Maryland,maar niet hoofdstad;3;
10081;AARD;baltische;Estland,Letland,Litouwen vormen samen de ....staten;2;
10082;AARD;bamako;wat is de hoofdstad van Mali;3;
10083;AARD;bangkok;Venetie van het Oosten;3;
10084;AARD;banjul;wat is de hoofdstad van Gambia;3;
10085;AARD;banlieus;in Ned. voorsteden, in Eng.suburbs, hoe in Fr.;2;
10086;AARD;barbados;van welk land/waarvan is Bridgetown de hoofdstad;3;
10087;AARD;barcelona;waar vinden wij de Sagrada Familia;2;
10088;AARD;batavia;naam Jakarta in Ned. tijd;2;
10089;AARD;baton rouge;wat is de hoofdstad vd Am.staat Louisiana;3;
10090;AARD;bayern;van welke Du.deelstaat is Munchen de hoofdstad;1;
10091;AARD;becak;fietstaxi in Indonesie;2;
10092;AARD;beijing;Chin.naam Peking;1;
10093;AARD;bennebroek;in welke plaats vinden wij Linnaeushof,Eur.grootste speeltuin;3;
10094;AARD;bergen;welke plaats ligt zowel in Noord-Holland als in Limburg;2;
10095;AARD;berkel;welke rivier stroomt bij Zutphen in de IJssel;3;
10096;AARD;biddinghuizen;in welke plaats in Flevopolder bevindt zich off.Walibi world;2;
10097;AARD;birmingham;grootste en belangrijkste stad in Am.staat Alabama,maar niet hoofdstad;3;
10098;AARD;bismarck;wat is de hoofdstad vd Am.staat North-Dakota;3;
10099;AARD;blackpool;Eng.populaire vakantieplaats m.zandstranden en replica Eiffeltoren;3;
10100;AARD;bleskensgraaf;bel.plaats/waar staat gem.huis gemeente Graafstroom;3;
10101;AARD;bodensee;in welk meer liggen Mainau/Landau;2;
10102;AARD;boekweitkorrels;welke dingen staan er in de gemeentewapens v.Bussum en Hilversum;2;
10103;AARD;boise;wat is de hoofdstad vd Am.staat Idaho;3;
10104;AARD;bolivia;welke 2 Z.Am.landen grenzen niet aan zee: Paraguay en ..;1;
10105;AARD;bonifica;drooggelegde moerasgebieden aan einde Po-delta,vgl.Ned.polder;3;
10106;AARD;borkum;wat is het eerste Du.waddeneiland,gerekend vanuit Nederland;2;
10107;AARD;boskoop;welke ZH-plaats is bekend vanwege zijn vele boomkwekerijen ;3;
10108;AARD;bosnie-herzegowina;van welk land is Serajewo de hoofdstad;2;
10109;AARD;bosporus;zeestraat tussen zee v.Marmora en Zwarte Zee/Istanbul en Az.Turkije ;2;
10110;AARD;boston;wat is de hoofdstad vd Am.staat Massachussets;3;
10111;AARD;brak;hoe noemt men water dat niet zoet en niet zout is;1;
10112;AARD;brandaris;vuurtoren van Terschelling;2;
10113;AARD;brandenburg;van welke Du.deelstaat is Potsdam de hoofdstad;3;
10114;AARD;bratislava;hoofdstad Slowakije;2;
10115;AARD;brazzaville;hoofdstad van Kongo;3;
10116;AARD;breda;bij welke plaats behoort de baronie;2;
10117;AARD;breda;waar vinden wij de KMA;3;
10118;AARD;breda;wijken:Haagse Beemden,Princenhage,Heusdenhout;2;
10119;AARD;bretagne;in welke streek vinden wij een soort hunebedden,menhirs geheten;3;
10120;AARD;breukelen;waar vinden wij Nijenrode;2;
10121;AARD;brugge;welke Belg.stad wordt ook wel Venetie van het Noorden genoemd;2;
10122;AARD;brunssum;wijken:Schuttersveld,Langeberg,Afcent;3;
10123;AARD;brussel;in welke stad staat Manneken Pis;1;
10124;AARD;bunschoten;in welke gemeente ligt Spakenburg;2;
10125;AARD;burkina faso;van welk land is Ouagadougou de hoofdstad;3;
10126;AARD;cable cars;beroemde trams van San Francisco;3;
10127;AARD;cagliari;wat is de hoofdstad van de It.regio Sardinie;3;
10128;AARD;california;van welke Am.staat is Sacramento de hoofdstad;2;
10129;AARD;campanie;van welke It.regio is Napels de hoofdstad;3;
10130;AARD;canaimi national park;in welk nat.park bevindt zich de hoogste waterval ter wereld (angel falls);3;
10131;AARD;caraibische;in welke zee liggen Cuba,Jamaica,Curacao;2;
10132;AARD;carcassonne;grootste vestingstad van Europa aan de Fr.rivier de Aude;3;
10133;AARD;carson city;wat is de hoofdstad vd Am.staat Nevada;3;
10134;AARD;casablanca;bij welke stad ligt het vliegveld Mohammed-V Airport;3;
10135;AARD;catalonie;in welke Sp.regio ligt Barcelona;1;
10136;AARD;cataracten;hoe worden de (oorspr. 7) watervallen/stroomversnelingen in Nijl gen. (Lat. voor waterval);3;
10137;AARD;cauberg;berg in Valkenburg;2;
10138;AARD;celebes;wat is de Ned. naam voor (het eiland) Sulawesi ;2;
10139;AARD;charleston;wat is de hoofdstad vd Am.staat West-Virginia;3;
10140;AARD;cheyenne;wat is de hoofdstad vd Am.staat Wyoming;3;
10141;AARD;chicago;grootste en belangrijkste stad in Am.staat Illinois,maar niet hoofdstad;2;
10142;AARD;chicago;in welke stad staat de Sears Tower (inmiddels Willis Tower), geb.1974;3;
10143;AARD;chili;bij welk land hoort het Paaseiland;2;
10144;AARD;chili;van welk land is Santiago de hoofdstad;1;
10145;AARD;chili;van welk land maakt kaap Hoorn deel uit;2;
10146;AARD;china;de berg K2 ligt op de grens van 2 landen: Pakistan en …..;2;
10147;AARD;china;in welk land ontspringt de Mekong;2;
10148;AARD;cleveland;grootste en belangrijkste stad in Am.staat Ohio maar niet hoofdstad;2;
10149;AARD;clyde;welke rivier stroomt door Glasgow;3;
10150;AARD;colorado;in welke rivier is de Hooverdam bij Las Vegas aangelegd;3;
10151;AARD;colorado;van welke Am.staat is Denver de hoofdstad;2;
10152;AARD;columbia;in welke staat ligt Washington;2;
10153;AARD;columbia;wat is de hoofdstad vd Am.staat South-Carolina;3;
10154;AARD;columbus;wat is de hoofdstad vd Am.staat Ohio;3;
10155;AARD;comoren;v.welke eilandengroep (in Ind.oceaan) maakte Mayotte,nu Frans,tot 1976 deel uit;3;
10156;AARD;conakry;wat is de hoofdstad van Guinee;3;
10157;AARD;concord;wat is de hoofdstad vd Am.staat New-Hampshire;3;
10158;AARD;congo;van welk land is Kinshasa de hoofdstad;3;
10159;AARD;connecticut;van welke Am.staat is Hartford de hoofdstad;3;
10160;AARD;cook;welke mount is de hoogste berg v.Nieuwzeeland (3.766 m.);3;
10161;AARD;corsica;op welk eiland liggen Bastia,Calvi,Bonifacio;2;
10162;AARD;costarica;van welk land worden de inwoners wel Tico's genoemd;3;
10163;AARD;county;hoe wordt in Engeland een graafschap genoemd;2;
10164;AARD;cycladen;tot welke eilandengroep behoort Mykonos;2;
10165;AARD;cycladen ;tot welke eilandengroep behoren Naxos, Delos, Milos;3;
10166;AARD;cyprus;eiland met zowel Grieks als Turks deel;1;
10167;AARD;cyprus;waarvan is Lefkosia (v/h Nicosia) de hoofdstad;2;
10168;AARD;dakar;hoofdstad Senegal;2;
10169;AARD;dalgrond;welke grond blijft over na afgraven veen;2;
10170;AARD;damsterdiep;tussen Groningen en Delfzijl 2 waterlopen:Eemskanaal en ..;2;
10171;AARD;debrecen;qua inwonertal 2e stad v.Hongarije;3;
10172;AARD;deelen;militair vliegveld bij Arnhem;2;
10173;AARD;delaware;van welke Am.staat is Dover de hoofdstad;3;
10174;AARD;delft;in welke stad kruithuisbrug,koepoortbrug,reineveldbrug;3;
10175;AARD;demografie;onderdeel aardrijkskunde dat zich bezighoudt met geboorte,sterfte,emi-/immigratie mensen;2;
10176;AARD;denali;hoogste berg Noord-Amerika, vroeger Mount Mc Kinley;3;
10177;AARD;denemarken;bij welk land behoren de Faroer-eilanden;2;
10178;AARD;denver;wat is de hoofdstad vd Am.staat Colorado;2;
10179;AARD;detroit;Am.autoindustriestad,oa Ford;2;
10180;AARD;detroit;grootste en belangrijkste stad in Am.staat Michigan,maar niet hoofdstad;2;
10181;AARD;deventer;wijken:Keizerslanden,Groot-Douwel,Zandweerd,de Hoven;3;
10182;AARD;dieze;welke riviertje stroomt door en onder Den Bosch;3;
10183;AARD;dinkel;aan welke rivier ligt Denekamp;2;
10184;AARD;dinkel;Twente ligt tussen 2 rivieren : in het Westen de Regge,welke in Oosten;3;
10185;AARD;dinkelland;in welke gemeente ligt/liggen Denekamp en Ootmarsum;3;
10186;AARD;dnjepr;van welke rivier is de Berezina een zijrivier;3;
10187;AARD;dodoma;wat is de huidige hoofdstad van Tanzania,vroeger Dar-es-salam;3;
10188;AARD;doggersbank;grootste zandbank in de Noordzee;2;
10189;AARD;doha;wat is de hoofdstad van Qatar;3;
10190;AARD;dokkum;bel.plaats/waar staat gem.huis gemeente dongeradeel;3;
10191;AARD;dolomieten;v. welk gebergte is de Marmolada de hoogste top;2;
10192;AARD;domburg;bekendste badplaats (parel vh eiland) op Walcheren;2;
10193;AARD;dominicaanse rep.;een Caraibisch eiland wordt gedeeld door Haiti en ..;2;
10194;AARD;donau;aan welke rivier ligt Boedapest;1;
10195;AARD;donau;op een na langste rivier van Europa;2;
10196;AARD;donau;waarvan zijn de Inn,Lech en Isar zijrivieren;2;
10197;AARD;donau;welke rivier vormen de Brigach en Breg samen;2;
10198;AARD;donau ;welke rivier stroomt door Wenen;1;
10199;AARD;doorn;waar vinden wij von Gimborn Arboretum;3;
10200;AARD;dordrecht;"in welke stad ""het zeepaert"",Ned.oudste (inmiddels gerestaureerde) woonhuis";3;
10201;AARD;dordrecht;in welke stad vinden wij de wijken:Sterrenburg,Dubbeldam,Crabbehof,Krispijn;3;
10202;AARD;douro;welke rivier vormt bijna 100 km. grens tussen Spanje en Portugal;3;
10203;AARD;dover;wat is de hoofdstad vd Am.staat Delaware;3;
10204;AARD;drachten;belangrijkste plaats gemeente Smallingerland;2;
10205;AARD;drenthe;in welke provincie ligt Moscou met een c;3;
10206;AARD;drenthe;ze is geen Friezin, maar een Vriese. Uit welke provincie komt ze dan?;2;
10207;AARD;dresden;wat is de hoofdstad van de Du.deelstaat Sachsen;3;
10208;AARD;drunen;waar vinden wij het Land van Ooit;3;
10209;AARD;dubai;Burj Al Arab is een 7-sterrenhotel, waar;2;
10210;AARD;dubai;waar bevindt zich sinds 2007 hoogste gebouw ter wereld (828 m.);3;
10211;AARD;duisburg;bij welke plaats mondt de Ruhr uit in de Rijn;3;
10212;AARD;east river;over welk water gaat de Brooklyn Bridge in New-York;3;
10213;AARD;edam;met welke plaats vormt Volendam een gemeente;1;
10214;AARD;edinburgh;waar is het gedenkteken voor Sir Walter Scott;3;
10215;AARD;ee;kortste plaatsnaam van Nederland (in Friesland, 2 letters);3;
10216;AARD;eemskanaal;tussen Groningen en Delfzijl 2 waterlopen:Damsterdiep en ..;2;
10217;AARD;efteling;welk attractiepark bevindt zich in Kaatsheuvel;1;
10218;AARD;eierlandse gat;zeestraat tussen Texel en Vlieland;3;
10219;AARD;eifel;van welk gebied is de Hohe Acht de hoogste berg;2;
10220;AARD;eiland;"wat betekent ""oog"" in Schiermonnikoog,Rottumeroog";2;
10221;AARD;eindhoven;5e stad v.Ned.,gemeten naar aantal inwoners;2;
10222;AARD;eindhoven;bij welke stad hoort het (kerk)dorp Acht;2;
10223;AARD;eindhoven;"in welke plaats vinden wij ""de witte dame"", gerenoveerd fabrieksgebouw";3;
10224;AARD;elbe;waarvan is de Eger een zijrivier;3;
10225;AARD;elbe;waarvan is de Havel een zijrivier;3;
10226;AARD;elbe;waarvan is de Saale een zijrivier;2;
10227;AARD;ellewoutsdijk;bij welke plaatsje komt Westerscheldetunnel uit aan Bevelandse zijde;3;
10228;AARD;elzas;in welke Fr.region liggen de departementen Haut- en Bas-Rhin ;2;
10229;AARD;emden;hoofdstad vd Du.landstreek Ostfriesland;2;
10230;AARD;emilia-romagna;van welke It.regio is Bologna de hoofdstad;3;
10231;AARD;emmen;wijken:Angelslo,Bargeres,Noordbarge;2;
10232;AARD;enkhuizen;waar vinden wij het Staverse poortje;3;
10233;AARD;enschede;1e Ned.stad vanuit de Du.plaats Gronau;2;
10234;AARD;enschede;"in welke stad vinden wij het ""van Deinse-instituut""";3;
10235;AARD;enschede;wijken:Twekkelerveld,Stokhorst,Wooldrik;3;
10236;AARD;enter;waar grootste klomp uit 1 stuk hout,opgenomen in Guiness Book;3;
10237;AARD;erfurt;wat is de hoofdstad van de Du.deelstaat Thuringen;3;
10238;AARD;ertsgebergte;van welk gebergte zijn Klinovec en Fichtelberg de hoogste toppen;3;
10239;AARD;esbjerg;welke havenstad ligt aan de Westkust van Jutland;2;
10240;AARD;escamp;den Haag best.sinds 1986 uit 8 stadsdelen. Tot welk stadsdeel behoren Moerwijk-Zuiderpark,Leyenburg,Morgenstond;3;
10241;AARD;eskilstuna;bij welke Zweedse plaats wordt ijzererts gewonnen;3;
10242;AARD;estuarium;trechtervormige riviermond door getij, bijv. Humber/Elbe;2;
10243;AARD;etang;Fr.woord voor haf of lagune;3;
10244;AARD;etna;in Italie 3 vulkanen: Stromboli, Vesuvius en …..;1;
10245;AARD;eupen;belangrijkste stad vd Belg.Ooskantons,vroeger Du.,ook Du.sprekend;3;
10246;AARD;europide;3 hoofdrassen (v.Eickstedt):mongolide, negroide en  ...;2;
10247;AARD;eyafallajokull;IJsl.gletschervulkaan die 2010 tot uitbarsting kwam en aswolk veroorzaakte;3;
10248;AARD;falaisekust;Fr.woord voor klifkust;3;
10249;AARD;far-oer;tot welke eilandengroep behoren Vaago,Stromo,Sydero;3;
10250;AARD;finland;in welk land liggen Kuopio,Turku,Tampere;2;
10251;AARD;finland;welk land wordt bedoeld met Suomi;1;
10252;AARD;florence;waar vinden wij Baptisterium en de Ponte Vecchio;2;
10253;AARD;florida;in welke Am.staat ligt Jacksonville;3;
10254;AARD;florida;van welke Am.staat is Talahassee de hoofdstad;2;
10255;AARD;formosa;wat is de vroegere naam van Taiwan;2;
10256;AARD;franche-comte;in welke Fr.region liggen de departementen Doubs en Jura;3;
10257;AARD;frankfort;wat is de hoofdstad vd Am.staat Kentucky;3;
10258;AARD;frankfurt/main;"in welke stad een vd hoogste geb. in Eur. ""Commerzbanktower""";2;
10259;AARD;frankfurt/main;waar bevindt zich de atoomklok;2;
10260;AARD;frankrijk;wat is het land van Marianne;2;
10261;AARD;frans;2e taal van Canada na Engels;1;
10262;AARD;freetown;hoofdstad Sierra Leone;3;
10263;AARD;friesland;bij welke provincie hoort Terschelling;1;
10264;AARD;friesland;in welke Ned.provincie ligt Zurich;2;
10265;AARD;friesland;Scherpenzeel is een plaats in Gelderland, maar ook een plaats in welke provincie;3;
10266;AARD;fuji;hoogste,heilige Jap. berg;2;
10267;AARD;fuji-eilanden;van welke eilandengroep is Suva de hoofdstad;3;
10268;AARD;funchal;hoofdstad van Madeira;3;
10269;AARD;gabon;van welk land is Libreville de hoofdstad;3;
10270;AARD;galicie;meest westelijke streek Spanje met oa La Coruna;3;
10271;AARD;gambia;van welk land is Banjul de hoofdstad;3;
10272;AARD;gdansk;huidige naam Danzig;2;
10273;AARD;gein;welk riviertje stroomt van Weesp naar Abcoude;2;
10274;AARD;gelderland;Hengelo is een plaats in Overijssel en in …..;2;
10275;AARD;gelderland;in welke provincie ligt Hattem;2;
10276;AARD;gele zee;zee tussen Korea en China;2;
10277;AARD;gent;in welke stad/plaats vinden wij de St.Baafsabdij en St.Baafskathedraal;2;
10278;AARD;genua;wat is de hoofdstad van de It.regio Ligurie;3;
10279;AARD;geomorfologie;wet.naam van landschapskunde;2;
10280;AARD;georgia;van welke Am.staat is Atlanta de hoofdstad;2;
10281;AARD;ghana;van welk land is Accra de hoofdstad;2;
10282;AARD;gibraltar;Eng. zuidpuntje van Spanje;1;
10283;AARD;giessendam;waarmee vormt Hardinxveld 1 plaats;2;
10284;AARD;gieten;bel.plaats/waar staat gem.huis gemeente Aa en hunze;3;
10285;AARD;giethoorn;welke Ov.plaats wordt Venetie van het Noorden genoemd;1;
10286;AARD;goliath;wat is hoogste en langste achtbaan in Ned.;2;
10287;AARD;gorge;Fr.woord voor diepe,steilwandige kloof,uitgeslepen door rivier,bijv.Tarn;2;
10288;AARD;gouda;wijken:Goverwelle,Plaswijck,Mammoet;3;
10289;AARD;gouwzee;zee tussen Marken en vasteland N-Holland;2;
10290;AARD;granada;waar staat het Alhambra;2;
10291;AARD;gravenhage;hoofdstad van Zuid-Holland;1;
10292;AARD;gravenhage;in welke stad vinden wij het Mauritshuis;1;
10293;AARD;gravenhage;waar vinden wij de Schilderswijk;1;
10294;AARD;gravenhage;waar:Moerwijk,Bezuidenhout,Laakkwartier;2;
10295;AARD;greithoek;ene deel van Friesland is de Bouwhoek,andere de;2;
10296;AARD;grevelingen;hoe heet het water tussen Zuid-Holland en Zeeland;2;
10297;AARD;groenland;grootste eiland van Europa;1;
10298;AARD;groenland;op welk eiland Thule,Sukkertoppen,Godthaab;2;
10299;AARD;gronau;1e Du.plaats/stad over de grens vanuit Enschede;3;
10300;AARD;groningen;wijken:Corpus den hoorn,Helpman,Vinkhuizen;3;
10301;AARD;groningen;wijken:Paddepoel,Beijum,Lewenborg;2;
10302;AARD;groot-barriere-rif;naam grootste koraalrif ter wereld;2;
10303;AARD;guadalquivir;aan welke rivier liggen Cordoba en Sevilla;3;
10304;AARD;guadalquivir;welke rivier stroomt door Sevilla;3;
10305;AARD;guinee;van welk land is Conakry de hoofdstad;3;
10306;AARD;gutland;Luxemburg bestaat uit 2 streken: Oesling (noorden) en ..;3;
10307;AARD;haarlem;spaarnestad;2;
10308;AARD;haarlem;waar is het Frans Halsmuseum;2;
10309;AARD;haarlem;wijken:Schalkwijk,Kleverpark,Vondelkwartier;3;
10310;AARD;haarlemmermeer;in welke gemeente ligt Schiphol;2;
10311;AARD;haarlemmermeer;van welke gemeente is Hoofddorp de belangrijkste plaats;1;
10312;AARD;haiti;een Caraibisch eiland wordt gedeeld door Dominic.Rep. en;2;
10313;AARD;haiti;van welk land is Port-au-prince de hoofdstad;3;
10314;AARD;hamburg;waar vinden we de Reeperbahn;2;
10315;AARD;hamilton;hoofdstad Bermuda's;3;
10316;AARD;hannover;waar Herrenhausertuin,slot Leine,Leibnitzhaus;3;
10317;AARD;harare;hoofdstad Zimbabwe;2;
10318;AARD;harrisburg;wat is de hoofdstad vd Am.staat Pennsylvania;3;
10319;AARD;hartford;wat is de hoofdstad vd Am.staat Connecticut;3;
10320;AARD;harz;v. welk gebergte/streek is de Brocken hoogste berg;2;
10321;AARD;heathrow;grootste luchthaven van Engeland;1;
10322;AARD;hebriden;tot welke eilandengroep behoren Uist,Barra,Lewis;3;
10323;AARD;heerenveen;us mem in Leeuwarden,maar waar is Us Heit;2;
10324;AARD;heerenveen;welke plaats noemt men het Friese Haagje;2;
10325;AARD;heerlen;wijken:Meezenbroek,Musschemig,Welten,Heksenberg;3;
10326;AARD;heiligerlee;waar vinden wij in Groningen klokkengieterij annex museum;3;
10327;AARD;helena;wat is de hoofdstad vd Am.staat Montana;3;
10328;AARD;helvetia;landnaam op Zwitserse postzegels;2;
10329;AARD;henegouwen;van welke Belg.provincie is Bergen de hoofdstad;3;
10330;AARD;hengelo;wijken:Woolderes,Hasseleres,Groot-Driene;3;
10331;AARD;hertogenbosch;hoofdstad Noord-Brabant;1;
10332;AARD;hertogenbosch;waar in Ned. vinden wij de St.Janskathedraal;1;
10333;AARD;hertogenbosch;welke plaats/stad ligt op plaats waar Aa en Dommel samenvloeien;3;
10334;AARD;hessen;van welke Du.deelstaat is Wiesbaden de hoofdstad;2;
10335;AARD;hilversum;waar vinden wij Pinetum Blijdenstein;2;
10336;AARD;hindeloopen;het Friese Venetie;3;
10337;AARD;hindi;taal India naast Engels;2;
10338;AARD;hindoestanen;Surinaamse bevolking bestaat uit diverse etnische groepen, wat grootste;2;
10339;AARD;hispaniola;welk eiland wordt gedeeld door Haiti en Dominic.Rep.;2;
10340;AARD;hohe acht;hoogste berg vd Eifel;3;
10341;AARD;hollands diep;over welk water gaat de Moerdijkbrug;2;
10342;AARD;hollandse ijssel;over welk water gaat veerdienst Gouderak-Moordrecht;2;
10343;AARD;holterberg;waar is het museum van Piet Bos;3;
10344;AARD;hondsbosse;Pettense of ...zeewering;2;
10345;AARD;hondsrug;wat begint in Emmen en eindigt in Zuidlaren;2;
10346;AARD;honduras;in welk land ligt Tegucigalpa;3;
10347;AARD;hongarije;in welk land ligt het Balatonmeer;1;
10348;AARD;hongarije;in welk land vinden wij natuurpark Tihanyi-felsziget;3;
10349;AARD;hongkong;in welke stad staat de Central Plaza,geb.1992 374 m.hoog;3;
10350;AARD;honolulu;hoofdstad Hawai;2;
10351;AARD;honsjoe;op welk eiland ligt Tokio;3;
10352;AARD;hoofddorp;bel.plaats/waar staat gem.huis gemeente Haarlemmermeer;2;
10353;AARD;hoogeveen;waar vinden wij de penitiaire inrichting de Grittenborgh;3;
10354;AARD;hoorn;waar vinden wij het Westfries Museum;2;
10355;AARD;hoorn;waar: Roode Steen,Grote Oost,Appelhaven;3;
10356;AARD;hoorn;welke kaap vormt de meest zuidelijke punt v. Z.Am. ;2;
10357;AARD;hoorn;wijken:Kersenboogerd,Risdam,Nieuwe Steen;2;
10358;AARD;horsterwold;grootste aaneengesloten loofbos v.Ned. (Flevoland);3;
10359;AARD;houston;grootste en belangrijkste stad in Am.staat Texas maar niet hoofdstad;2;
10360;AARD;idaho;van welke Am.staat is Boise de hoofdstad;3;
10361;AARD;ierland;wat is het groene eiland;1;
10362;AARD;ijlst;bel.plaats/waar staat gem.huis gemeente wymbritseradeel;3;
10363;AARD;ijsland;in welk land vinden wij de Strokkur;3;
10364;AARD;ijsland;in welk land vinden wij de vulkaan Laki;3;
10365;AARD;ijsland;Skaftafeel enThingvellir zijn de 2 nationale parken van ..;3;
10366;AARD;ijssel;Ouderkerk a/d Amstel en Ouderkerk a/d ?;1;
10367;AARD;ile de la cite;eiland in de Seine in Parijs;2;
