number;category;answer;question;m;ignore
78;AARD;elbe;Welke rivier stroomt door Dresden?;2;
79;AARD;elbe;Aan welke rivier ligt Hamburg?;2;
80;AARD;elbruz;Wat is de hoogste berg van de Kaukasus?;3;
81;AARD;emmeloord;Wat is de belangrijkste plaats in de Noordoost polder?;2;
82;AARD;emmerich;Wat is de eerste Duitse stad stroomopwaarts langs de Rijn?;2;
83;AARD;enclave;Hoe heet een grondgebied dat door grondgebied van ander land is ingesloten?;2;
84;AARD;enkhuizen;In welke stad staat de dromedaris?;2;
85;AARD;enschede;Waar vinden we de wijken: Rigtersbleek, Stroinkslanden, Pathmos?;2;
86;AARD;erewan;Wat is de hoofdstad van Armenie?;2;
87;AARD;eritrea;Van welk land is Asmara de hoofdstad?;3;
88;AARD;es;Hoe heet de gemeenschappelijk landbouwgrond rond een dorp?;2;
89;AARD;escaut;Fr.naam voor de Belg.rivier de Schelde;2;
90;AARD;eskimo's;"Deze mensen noemen zichzelf ""inuit"" (mensen). Hoe noemen wij ze?";2;
91;AARD;eskimo's;Wie zijn de bewoners van Groenland?;1;
92;AARD;estland;Van welk land is Tallinn de hoofdstad?;2;
93;AARD;estland;De Baltische staten zijn Letland,Litouwen en … ;2;
94;AARD;ethiopie;Van welk land is Addis Abbeba de hoofdstad?;2;
95;AARD;ethiopie;Wat is de huidige naam Abessinie?;2;
96;AARD;etna;Hoe heet de vulkaan op Sicilie?;1;
97;AARD;eufraat;Wie hoort er bij de Tigris?;1;
98;AARD;evenaar;Wat is de meest gangbare Nederlandse naam voor equator?;1;
99;AARD;everglades;Wat is de naam van 1 van de grootste moerasgebieden ter wereld (in Florida)?;2;
100;AARD;favelas;Hoe noemt men de krottenwijken van Rio de Janeiro?;3;
101;AARD;filippijnen;Van welk land zijn Luzon en Mindanao de hoofdeilanden?;3;
102;AARD;finland;Wat is de naam van het 'land van de 1000 meren'?;1;
103;AARD;florence;Wat is de hoofdstad van de Italiaaanse regio Toscane?;2;
104;AARD;fohn;Hoe wordt de warme, droge wind in de Alpen genoemd?;1;
105;AARD;gabon;Albert Schweitzer stichtte hospitaal in Lambarene. In welk land ligt Lambarene?;3;
106;AARD;garonne;Welke rivier stroomt door Toulouse?;3;
107;AARD;geneve;Wat is de hoofdzetel van het Internationale Rode Kruis?;2;
108;AARD;georgie;Van welk land is Tiflis de hoofdstad?;2;
109;AARD;geul;Wwaarvan is de gulp een zijrivier?;2;
110;AARD;gobi;Wat is de grootste woestijn van China?;2;
111;AARD;gouda;Wat is de stad van pijpen, kaas, kaarsen en glazen?;2;
112;AARD;grebbeberg;Hoe heet de berg bij Rhenen?;2;
113;AARD;grozny;Wat is de hoofdstad van Tsjetsjenie?;3;
114;AARD;guadeloupe;Frankrijk heeft 5 overzeese departementen: Frans Guyana, Martinique, Reunion, Mayotte en ..;3;
115;AARD;hannover;Wat is de hoofdstad van de Duitse deelstaat Niedersachsen?;2;
116;AARD;havana;Wat is de hoofdstad van Cuba?;1;
117;AARD;hawai;Van welke Amerikaane staat is Honolulu de hoofdstad?;2;
118;AARD;hawai;Waar vinden we de grootste actieve vulkaan op aarde (Mauna Loa)?;2;
119;AARD;iberie;Hoe worden Spanje en Portugal samen genoemd?;1;
120;AARD;ibiza;Wat is het 3e eiland in de eilandengroep met Mallorca en Menorca?;2;
121;AARD;ierland;In welk land ligt Tipperary?;2;
122;AARD;ierland;In welk land vinden wij de rivier de Shannon?;2;
123;AARD;ierse;Aan welke zee ligt Liverpool?;2;
124;AARD;ierse;In welke zee ligt het eiland Man?;2;
125;AARD;ijsland;In welk Europees land komen geisers voor?;1;
126;AARD;ijssel;In welke rivier mondt de Berkel uit?;2;
127;AARD;ijssel;Over welke rivier gaat het veer van Bronkhorst naar Brummen?;2;
128;AARD;ijssel;Krimpen a/d/ Lek en Krimpen a/d …;2;
129;AARD;illinois;In welke Amerikaanse staat ligt Chicago?;2;
130;AARD;india;In welk land vinden wij de Taj-Mahal?;1;
131;AARD;india;Van welk land is New Delhi de hoofdstad?;1;
132;AARD;indische;In welke oceaan mondt de Zambesi uit?;3;
133;AARD;indonesie;In welk land vinden wij Borobudur?;2;
134;AARD;indonesie;In welk land vinden wij de vulkaan Galunggung, uitbarstingen in 1822 en 1982?;2;
135;AARD;indonesie;In welk land vinden wij de vulkaan Tambora, uitgebarsten in 1815?;3;
136;AARD;indonesie;In welk land ligt Billiton?;2;
137;AARD;indonesie;Welk land wordt 'de gordel van smaragd' genoemd?;2;
138;AARD;infrastructuur;Hoe wordt het totaal aan voorzieningen (bruggen, wegen, sporen) in een land genoemd?;2;
139;AARD;inuit;Hoe noemen de eskimo's zichzelf (letterlijk: mensen)?;2;
140;AARD;iran;Wat is de huidige naam van Perzie?;1;
141;AARD;irrigatie;Hoe noemt men de kunstmatige bevloeiing van gebieden?;2;
142;AARD;isar;Welke rivier stroomt door Munchen?;3;
143;AARD;islamabad;Wat is de hoofdstad van Pakistan?;2;
144;AARD;istanbul;Wat is de huidige naam van Constantinopel?;1;
145;AARD;istanbul;In welke stad vinden wij de Aya Sophia?;2;
146;AARD;italie;Tot welk land behoort Apulie?;2;
147;AARD;italie;In welk land vinden wij  de Apennijnen?;1;
148;AARD;italie;Welk land heeft vorm van een laars?;1;
149;AARD;ivoorkust;Van welk land is Abidjan de belangrijkste (haven)stad en regeringszetel?;2;
150;AARD;izmir;Wat is de huidige naam van de stad Smyrna?;3;
151;AARD;japan;Wat is het land van de rijzende zon?;1;
152;AARD;jordaan;Hoe heet de A'damse wijk die begrensd wordt door Prinsen-,Lijnbaans-,Brouwers-en Leidsegracht?;1;
153;AARD;k2;Wat is de naam van de op 1 na hoogste bergtop ter wereld?;2;
154;AARD;kaatsheuvel;In welke plaats bevindt zich de Efteling?;1;
155;AARD;kalimantan;Hoe heet het Indonesiche deel van Borneo?;3;
156;AARD;kampala;Wat is de hoofdstad van Oeganda?;3;
157;AARD;kaspische;In welke zee mondt de Wolga uit?;2;
158;AARD;kaukasus;Hoe heet het gebergte op de grens van Rusland en Turkije?;2;
159;AARD;kiev;Wat is de hoofdstad van Oekraine?;2;
160;AARD;kilimanjaro;Wat is de hoogste berg van Afrika?;2;
161;AARD;kingston town;Wat is de hoofdstad van Jamaica?;2;
162;AARD;knox;In welk fort wordt de Amerikaanse goudvoorraad bewaard?;2;
163;AARD;koperen kop;Wat is de naam van het restaurant midden in Nationaal Park Hoge Veluwe?;3;
164;AARD;kroatie;Van welk land maakt Dalmatie deel uit?;2;
165;AARD;kuala lumpur;Wat is de hoofdstad van Maleisie?;2;
166;AARD;kuala lumpur;In welke stad vinden we de Petronas Towers (tot oktober 2003 het hoogste gebouw ter wereld met ee hoogte van 425 meter)?;3;
167;AARD;laos;Van welk land is Vientiane de hoofdstad?;2;
168;AARD;lauwersoog ;Uit welke plaats vertrekt veerboot naar Schiermonnikoog?;2;
169;AARD;leiden;Waar vinden we de wijken: Professorenwijk, Merenwijk en Groenoord?;3;
170;AARD;lek;Krimpen a/d IJssel en Krimpen a/d …;1;
171;AARD;lesse;Aan welke rivier ligt de Belgische plaats Han?;2;
172;AARD;letland;Van welk land is Riga de hoofdstad?;2;
173;AARD;libie;Van welk land is Tripoli de hoofdstad?;1;
174;AARD;liechtenstein;Van welk land is Vaduz de hoofdstad?;2;
175;AARD;lille;Welke Franse stad wordt in Nederlands Rijssel genoemd?;2;
176;AARD;limburg;In welke provincie ligt America (met een c)?;2;
177;AARD;limmat;Welke rivier stroomt door Zurich?;3;
178;AARD;linge;Welke rivier stroomt tussen Nederrijn en Waal?;1;
179;AARD;lisse;Bij welke plaats bevindt zich de Keukenhof?;1;
180;AARD;loss;Hoe wordt de vruchtbare grondsoort in Zuid-Limburg genoemd. … grond?;2;
181;AARD;lourdes;Wat is de bekendste Franse bedevaartplaats aan de voet van de Pyreneeen?;1;
182;AARD;lunteren;Bij welke plaats ligt het middelpunt van Nederland, gemarkeerd door steen?;3;
183;AARD;lusaka;Wat is de hoofdstad van Zambia?;3;
184;AARD;luxemburg;In welk land ligt Schengen?;2;
185;AARD;maastricht;Waar vinden we het Frijthof?;1;
186;AARD;madras;Onder welke naam kennen wij in Nederland de Indiase stad Chennai?;2;
187;AARD;madrid;Waar vinden wij het Prado?;2;
188;AARD;magelhaes;Naar wie is de zeestraat tussen Chili en Vuurland genoemd (een Portugese ontdekkingstreiziger)?;3;
189;AARD;maleisie;Van welk land is Kuala Lumpur de hoofdstad?;2;
190;AARD;mali;Van welk land is Bamako de hoofdstad?;3;
191;AARD;marken;"Waar vinden wij vuurtoren ""het paard""?";2;
192;AARD;massachussets;In welke Amerikaanse staat ligt Cambridge, waar Harvard gevestigd is?;3;
193;AARD;meanderen;Term voor het sterk kronkelen van een riviertje?;2;
194;AARD;medan;Wat is de hoofdstad van Noord-Sumatra?;3;
195;AARD;mexico;In welk land ligt de vulkaan Pococatepetl?;3;
196;AARD;mexico;"Wat is naam land dat letterlijk ""in de navel van de agave"" betekent?";3;
197;AARD;minsk;Wat is de hoofdstad van Wit-Rusland (Belarus)?;2;
198;AARD;missisippi;Van welke Amerikaanse staat is Jackson de hoofdstad?;3;
199;AARD;moesson;Deze wind waait een deel van het jaar altijd in dezelfde richting. Wat is de naam?;2;
200;AARD;nairobi;Wat is de hoofdstad van Kenia?;2;
201;AARD;napels;Wat is de hoofdstad van de Italiaanse regio Campanie?;2;
202;AARD;neckar;Aan welke rivier ligt Stuttgart?;2;
203;AARD;neisse;De grens tussen Duitsland en Polen wordt gevormd door de rivier de Oder en de rivier de …?;1;
204;AARD;nepal;Van welk land is Katmandu de hoofdstad?;2;
205;AARD;nevada;In welke Amerikaane staat ligt Las Vegas?;3;
206;AARD;new-mexico;In welke staat ligt Los Alamos (bekend van atoombomonderzoek)?;3;
207;AARD;new-orleans;Wat is de grootste stad (maar niet hoofdstad) van de Amerikaanse staat Louisiana, gebouwd aan de Missisippi?;3;
208;AARD;new-york;Bij welke stad ligt het vliegveld La Guardia Airport?;2;
209;AARD;new-york;In welke stad vinden wij Brooklyn bridge?;1;
210;AARD;nicaragua;Van welk land is Managua de hoofdstad?;2;
211;AARD;niedersachsen;Van welke Duitse deelstaat is Hannover de hoofdstad?;2;
212;AARD;niers;Welke rivier ontspringt in Duitsland en stroomt bij Gennep in de Maas?;3;
213;AARD;nieuwe maas;Over welk water gaat de Erasmusbrug?;2;
214;AARD;nieuwegein;Welke plaats is ontstaan uit Jutphaas en Vreeswijk?;2;
215;AARD;nieuw-zeeland;Welk land is de belangrijkste producent van kiwi's?;2;
216;AARD;nigeria;Van welk land is Lagos de belangrijkste stad (vroeger hoofdstad)?;2;
217;AARD;nijhoff,martinus;Naar wie is de brug over de Waal bij Zaltbommel genoemd?;2;
218;AARD;nijmegen;Waar vinden wij het Valkhof?;2;
219;AARD;nippon;Hoe noemen Japanners hun land?;2;
220;AARD;nomaden;Hoe worden 'rondzwervende steppebewoners' genoemd?;1;
221;AARD;noordkaap;Wat wordt beschouwd als het meest noordelijkste puntje van het Europese continent?;1;
222;AARD;noord-korea;Van welk land is Pyongyang de hoofdstad?;2;
223;AARD;oase;Hoe heet een vruchtbare plaats in de woestijn?;1;
224;AARD;oder;De grens tussen Duitsland en Polen wordt gevormd door de Neisse en de …;2;
225;AARD;oeganda;Van welk land is Kampala de hoofdstad?;2;
226;AARD;oekraine;Van welk land is Kiev de hoofdstad?;2;
227;AARD;oer;Hoe noemt men 'ijzerhoudende grond'?;1;
228;AARD;oeral;Hoe heet het gebergte op de grens van Europa en Azie?;2;
229;AARD;oezbekistan;Wan welk land is Tasjkent de hoofdstad?;2;
230;AARD;oldehove;Hoe heet de scheve toren van Leeuwarden?;2;
231;AARD;olympus;Hoe heet de hoogste erg van Griekenland (2917 meter)?;2;
232;AARD;oosten;De Orient is het ..;2;
233;AARD;oostzee;Aan welke zee ligt Polen?;1;
234;AARD;oranjestad;Wat is de hoofdstad van Sint-Eustatius?;3;
235;AARD;orlando;In welke Amerikaanse stad vind je Disneyworld?;2;
236;AARD;ottawa;Wat is de hoofdstad van Canada?;2;
237;AARD;ourthe;n welke rivier mondt de Ambleve uit?;2;
238;AARD;overflakkee;Wie of wat hoort bij Goeree?;1;
239;AARD;overijssel;In welke provincie ligt Slagharen?;2;
240;AARD;overijssel;In welke provincie ligt Steenwijk?;1;
241;AARD;overijssel;In welke provincie ligt Nederland?;2;
242;AARD;paard,het;Wat is de naam van de vuurtoren van Marken?;3;
243;AARD;paaseiland;Welk Chileens eiland staat bekend om haar kolossale stenen beelden?;2;
244;AARD;parnassus;Aan de voet van welk gebergte ligt Delphi?;3;
245;AARD;passaat;Hoe heet een wind die altijd in 1 richting waait?;2;
246;AARD;peperbus;Wat is de (bij)naam van de bekendste toren van Zwolle?;2;
247;AARD;peru;In welk land vinden wij Machu Piccu?;3;
248;AARD;peru;Van welk land is Lima de hoofdstad?;1;
249;AARD;podgorica;Wat is de hoofdstad van Montenegro?;3;
250;AARD;poesta;Hoe heet een grassteppe in Hongarije?;2;
251;AARD;port-au-prince;Wat is de hoofdstad van Haiti?;3;
252;AARD;portorico;Waarvan is San Juan de hoofdstad?;3;
253;AARD;praag;Waar vinden we: het Gouden Straatje en de Karlsbrug?;2;
254;AARD;praag;Waar vinden we het Wenceslasplein?;2;
255;AARD;rabat;Wat is de hoofdstad van Marokko?;2;
256;AARD;ramblas;Wat is de belangrijkste straat van Barcelona?;2;
257;AARD;reeperbahn;Hoe heet het uitgaanscentrum van Hamburg?;3;
258;AARD;reest;Welk riviertje vormt de grens tussen Drenthe en Overijssel?;3;
259;AARD;rembrandttoren;Hoe heet het hoogste gebouw van Amsterdam?;2;
260;AARD;reunion;Frankrijk heeft 5 overzeese departementen: Frans Guyana, Martinique, Guadeloupe, Mayotte en …;3;
261;AARD;reunion;Welk Frans overzees departement ligt ten oosten van Madagascar?;3;
262;AARD;rhode island;Wat is de kleinste Amerikaanse staat?;3;
263;AARD;rhone;Aan welke rivier ligt Lyon?;2;
264;AARD;riga;Wat is de hoofdstad van Letland?;2;
265;AARD;rijn;Aan welke rivier ligt Straatsburg?;1;
266;AARD;rijn;In welke rivier vinden wij de Lorelei?;1;
267;AARD;rijn;Waarvan is de Neckar een zijrivier?;1;
268;AARD;rio de janeiro;Van welke stad is Copacabana een wijk?;2;
269;AARD;roemenie;Van welk land is Boekarest de hoofdstad?;1;
270;AARD;roermond;Waar vinden wij: de Munsterkerk, de St.Christoffelkathedraal en de Rattentoren?;3;
271;AARD;rome;In welke stad vinden wij de Sixtijnse kapel?;1;
272;AARD;rome;In welke stad vinden wij de Spaanse trappen?;2;
273;AARD;rome;Waar vinden wij het Colosseum?;1;
274;AARD;rome;Waar vinden wij de Trevifontein?;2;
275;AARD;rotterdam;In welke stad vinden wij de wijk Spangen?;1;
276;AARD;rottum;Wat is het laatste Nederlandse waddeneiland, gerekend vanuit Texel?;2;
277;AARD;ruigoord;Welk kunstenaarsdorp moest in 197 wijken voor uitbreiding van de Amsterdamse haven?;2;
278;AARD;rushmore;Wat is de naam van de Amerikaanse berg (mount) met uitgehouwen beeltenissen van 4 Amerikaanse presidenten?;3;
279;AARD;santo domingo;Wat is de hoofdstad van de Dominicaanse republiek?;3;
280;AARD;schaffhausen;Bij welke plaats bevinden zich de grootste watervallen van Europa?;1;
281;AARD;schonefeld;nieuwe internationale vliegveld van Berlijn ,in DDR-tijd luchthaven v.Oost-Berlijn,Berlin-..;3;x
282;AARD;searstower;Het hoogste gebouw van de VS is de Willistower in Chicago (442 meter), maar dit is bekend onder de oude naam van een postorderbedrijf. Welke 'tower' is dit?;3;
283;AARD;senegal;Van welk land is Dakar de hoofdstad?;2;
284;AARD;serajewo;Wat is de hoofdstad van Bosnie-Herzegowina?;2;
285;AARD;sicilie;Van welke Italiaanse regio is Palermo de hoofdstad?;2;
286;AARD;sierra leone;Van welk land is Freetown de hoofdstad?;3;
287;AARD;sirocco;Wat is de naam van de wind in Italie die hete en droge lucht met stof uit Sahara aanvoert?;2;
288;AARD;slovenie;Postojna is bekend van grotten. In welk land ligt Postojna?;2;
289;AARD;slowakije;Waarvan is Bratislava de hoofdstad?;2;
290;AARD;sofia;Wat is de hoofdstad van Bulgarije?;1;
291;AARD;somalie;Van welk land is Mogadisjoe de hoofdstad?;3;
292;AARD;spitsbergen;Waar vinden wij Barentsburg?;3;
293;AARD;spree;Welke rivier stroomt door Berlijn?;3;
294;AARD;sri lanka;Wat is de huidige naam van Ceylon?;1;
295;AARD;stalagmieten;Hoe worden staande pilaren van kalk in druipsteengrotten genoemd?;2;
296;AARD;steenbok;Hoe wordt de Zuiderkeerkring ook wel genoemd, naar een dier?;2;
297;AARD;sulawesi;Wat is de huidige naam van Celebes?;2;
298;AARD;sydney;In welke stad bevindt zich het 'operah house'?;2;
299;AARD;syrie;Waarvan is Damaskus de hoofdstad?;1;
300;AARD;taag;Welke rivier stroomt door Lissabon?;2;
301;AARD;taipei;Wat is de hoofdstad van Taiwan?;2;
302;AARD;taiwan;Wat is de huidige naam van het eiland Formosa?;2;
303;AARD;tanzania;In welk land ligt de Kilimanjaro?;3;
304;AARD;tasjkent;Wat is de hoofdstad van Oezbekistan?;3;
305;AARD;tempelhof;luchthaven in centrum Berlijn dat in 2007 gesloten zal worden;2;x
306;AARD;territoriale;Hoe heten de wateren die bij een land horen?;1;
307;AARD;terschelling;Waar vinden wij vuurtoren de Brandaris?;2;
308;AARD;texel;Wat is het grootste Nederlandse waddeneiland?;1;
309;AARD;thailand;De Gouden Driehoek is de benaming voor het grensgebied van Birma, Laos en …;1;
310;AARD;thailand;Welk land heeft bijnaam 'land van de eeuwige glimlach'?;2;
311;AARD;thailand;Wat is de huidige naam van het land dat voor 1939 Siam heette?;2;
312;AARD;thuringen;Van welke Duitse deelstaat is Erfurt de hoofdstad?;3;
313;AARD;tiber;Welke rivier stroomt door Rome?;2;
314;AARD;tiel;In welke plaats werkte Jomanda?;2;
315;AARD;tiflis;Wat is de hoofdstad van Georgie?;2;
316;AARD;tilburg;Welke stad wordt bedoeld met 'de wolstad'?;2;
317;AARD;timor;kleine Soenda-eilanden, gerekend vanaf Java: Bali,Lombok,Soemba,Soembawa,Flores en grootste met O.enW.-deel;2;x
318;AARD;tokio;Wat is de grootste stad op het eiland Honsjoe?;3;
319;AARD;trinidad;Van welk land is Port of Spain de hoofdstad?;3;
320;AARD;tripoli;Wat is de hoofdstad van Libie?;2;
321;AARD;tukkers;Wat is de bijnaam van de Twentenaren?;1;
322;AARD;twaalf;Hoeveel provincies telt Nederland?;1;
323;AARD;twente;In welke Nederlandse streek worden de bewoners Tukkers genoemd?;2;
324;AARD;uiterwaarden;Hoe heet de strook land tussen zomer- en winterdijk?;2;
325;AARD;ukkel;Wat is de vestigingsplaats van het Belgische weerinstituut?;3;
326;AARD;ulster;Noord-Ierland of ..;1;x
327;AARD;umbrie;Van welke Italiaane regio is Perugia de hoofdstad?;3;
328;AARD;urk;In de Noord-Oost polder bevinden zich 2 voormalige Zuiderzee-eilandjes: Schokland en …;1;
329;AARD;uruguay;Van welk land is Montevideo de hoofdstad?;2;
330;AARD;us mem;Hoe heet het beeld van de Friese stamboekkoe in Leeuwarden?;2;
331;AARD;utah;In welke Amerikaanse staat liggen de zoutvlakten (hoofdstad Salt Lake City)?;2;
332;AARD;utah;Van welke Amerikaanse staat is Salt Lake City de hoofdstad?;2;
333;AARD;utrecht;In welke provincie ligt Langbroek?;2;
334;AARD;utrecht;Wat is de kleinste provincie in oppervlakte van Nederland?;1;
335;AARD;utrecht;Welke Nederlandse stad wordt bedoeld met de Domstad?;1;
336;AARD;utrecht;Waar vinden we de wijken: Pijlsweerd, Majellapark en Welgelegen?;2;
337;AARD;utrecht;Waar vinden we de wijken: Lombok, Hoograven en Zuilen?;2;
338;AARD;vaduz;Wat is de hoofdstad van Liechtenstein?;2;
339;AARD;veertien;Hoeveel bergen hoger dan 8000 meter zijn er op de wereld?;3;
340;AARD;venetie;Waar vinden wij het San Marcoplein?;2;
341;AARD;venezuela;In welk land ontspringt de Orinoco?;3;
342;AARD;vesuvius;Hoe heet de vulkaan bij Napels?;2;
343;AARD;vientiane;Wat is de hoofdstad van Laos?;3;
344;AARD;vilnius;Wat is de hoofdstad van Litouwen?;3;
345;AARD;vogezen;iIn welk gebergte vinden we de Grand- en Petit Ballon?;2;
346;AARD;wageningen;Waar vinden we de vroegere Landbouwhogeschool (thans Universiteit)?;2;
347;AARD;wallonie;Belgie bestaat uit 2 delen: Vlaanderen en …;1;
348;AARD;welschap;Wat is de vroegere naam van Eindhoven Airport?;3;
349;AARD;wendelbos;Op 1 maart 2006 is de 1e boom geplant van een nieuw bos in de Noord-Oost polder. Wat is de naam van dit bos?;3;
350;AARD;wenen;Waar vinden wij het slot 'Schonbrunn'?;2;
351;AARD;wiewerd;In welke Friese plaats vinden wij mummies?;3;
352;AARD;yaounde;Wat is de (politieke) hoofdstad van Kameroen?;3;
353;AARD;yukon;Hoe heet de belangrijkste rivier van Alaska?;3;
354;AARD;zagreb;Wat is de hoofdstad van Kroatië?;2;
355;AARD;zambesi;In welke rivier liggen de Victoria Falls (de grootste watervallen van Afrika )?;3;
356;AARD;zambia;Van welk land is Lusaka de hoofdstad?;3;
357;AARD;zimbabwe;Van welk land is Harare de hoofdstad?;2;
358;AARD;zwolle;In welke stad vinden wij de Peperbus?;2;
359;BIJB;aaron;Wie was de 3 jaar oudere broer van Mozes?;2;
360;BIJB;aartsvader;Wat is de gewone Nederlandse naam (synoniem) voor patriarch?;1;
361;BIJB;aartsvaders;Hoe worden Abraham, Izaäk en Jakob genoemd (gewone Nederlandse term)?;1;
362;BIJB;abel;Wie vermoordde Kaïn?;1;
363;BIJB;abraham;Wie was de vader van Ismael?;2;
364;BIJB;abraham;Wie was de vader van Izaak?;2;
365;BIJB;absalom;Wie was de zoon van Salomo, die met haren in een boom bleef hangen?;2;
366;BIJB;abt;Hoe wordt de overste van een zelfstandig klooster genoemd?;2;
367;BIJB;adam;Wie was de vader van Kaïn?;2;
